index,size
0, 2
1, 1
2, 1
3, 1
4, 2
5, 3
6, 2
7, 1
8, 2
9, 0
10, 1
11, 0
12, 2
13, 3
14, 1
15, 2
16, 0
17, 0
18, 1
19, 2
20, 1
21, 0
22, 0
23, 2
24, 3
25, 1
26, 0
27, 0
28, 2
29, 1
30, 1
31, 1
32, 1
33, 1
34, 1
35, 2
36, 1
37, 0
38, 2
39, 1
40, 1
41, 0
42, 4
43, 1
44, 0
45, 2
46, 2
47, 5
48, 0
49, 3
50, 4
51, 2
52, 2
53, 3
54, 2
55, 2
56, 2
57, 1
58, 2
59, 3
60, 2
61, 1
62, 3
63, 3
64, 2
65, 1
66, 1
67, 2
68, 2
69, 2
70, 1
71, 1
72, 1
73, 1
74, 4
75, 4
76, 1
77, 2
78, 2
79, 1
80, 5
81, 2
82, 2
83, 0
84, 3
85, 1
86, 3
87, 2
88, 1
89, 0
90, 2
91, 2
92, 3
93, 1
94, 1
95, 4
96, 4
97, 2
98, 0
99, 2
100, 5
101, 5
102, 1
103, 3
104, 4
105, 2
106, 2
107, 2
108, 3
109, 2
110, 4
111, 3
112, 2
113, 5
114, 2
115, 2
116, 3
117, 3
118, 1
119, 4
120, 5
121, 6
122, 0
123, 1
124, 1
125, 1
126, 3
127, 2
128, 4
129, 4
130, 4
131, 5
132, 1
133, 2
134, 1
135, 4
136, 1
137, 4
138, 4
139, 5
140, 5
141, 1
142, 2
143, 1
144, 0
145, 2
146, 3
147, 2
148, 0
149, 2
150, 3
151, 1
152, 0
153, 3
154, 5
155, 3
156, 4
157, 4
158, 2
159, 0
160, 4
161, 4
162, 3
163, 5
164, 1
165, 1
166, 1
167, 4
168, 3
169, 4
170, 1
171, 3
172, 3
173, 1
174, 3
175, 4
176, 1
177, 4
178, 4
179, 3
180, 4
181, 2
182, 2
183, 2
184, 3
185, 2
186, 2
187, 3
188, 4
189, 2
190, 4
191, 2
192, 0
193, 6
194, 5
195, 2
196, 5
197, 1
198, 1
199, 3
200, 0
201, 4
202, 2
203, 5
204, 2
205, 2
206, 2
207, 3
208, 5
209, 5
210, 1
211, 4
212, 1
213, 1
214, 4
215, 3
216, 4
217, 4
218, 4
219, 3
220, 1
221, 0
222, 2
223, 1
224, 3
225, 6
226, 3
227, 2
228, 3
229, 2
230, 2
231, 5
232, 3
233, 2
234, 2
235, 3
236, 5
237, 1
238, 4
239, 2
240, 4
241, 6
242, 5
243, 3
244, 3
245, 5
246, 4
247, 5
248, 3
249, 3
250, 0
251, 3
252, 4
253, 5
254, 1
255, 4
256, 3
257, 2
258, 2
259, 7
260, 4
261, 7
262, 4
263, 3
264, 3
265, 7
266, 4
267, 4
268, 3
269, 5
270, 7
271, 7
272, 4
273, 6
274, 8
275, 4
276, 3
277, 2
278, 6
279, 4
280, 4
281, 6
282, 1
283, 5
284, 1
285, 3
286, 6
287, 4
288, 4
289, 6
290, 7
291, 2
292, 3
293, 5
294, 5
295, 4
296, 3
297, 4
298, 0
299, 5
300, 4
301, 1
302, 6
303, 5
304, 6
305, 4
306, 3
307, 4
308, 2
309, 3
310, 5
311, 2
312, 3
313, 2
314, 5
315, 5
316, 4
317, 5
318, 5
319, 2
320, 6
321, 2
322, 4
323, 4
324, 2
325, 3
326, 4
327, 1
328, 3
329, 1
330, 1
331, 2
332, 1
333, 3
334, 5
335, 4
336, 2
337, 5
338, 4
339, 0
340, 1
341, 2
342, 2
343, 2
344, 0
345, 5
346, 3
347, 3
348, 0
349, 3
350, 3
351, 3
352, 2
353, 4
354, 4
355, 4
356, 3
357, 3
358, 4
359, 5
360, 1
361, 2
362, 7
363, 1
364, 3
365, 4
366, 2
367, 2
368, 3
369, 1
370, 4
371, 4
372, 4
373, 8
374, 0
375, 7
376, 4
377, 9
378, 4
379, 3
380, 4
381, 4
382, 4
383, 2
384, 3
385, 2
386, 1
387, 4
388, 1
389, 2
390, 2
391, 2
392, 0
393, 4
394, 1
395, 7
396, 2
397, 2
398, 3
399, 2
400, 2
401, 5
402, 9
403, 1
404, 3
405, 2
406, 1
407, 4
408, 8
409, 3
410, 2
411, 1
412, 0
413, 0
414, 1
415, 4
416, 2
417, 1
418, 2
419, 4
420, 3
421, 2
422, 2
423, 1
424, 3
425, 2
426, 2
427, 3
428, 3
429, 4
430, 2
431, 1
432, 2
433, 5
434, 1
435, 3
436, 2
437, 1
438, 4
439, 3
440, 2
441, 2
442, 2
443, 1
444, 2
445, 2
446, 4
447, 2
448, 1
449, 3
450, 4
451, 1
452, 3
453, 3
454, 1
455, 3
456, 3
457, 1
458, 2
459, 1
460, 3
461, 1
462, 8
463, 4
464, 1
465, 2
466, 4
467, 3
468, 5
469, 3
470, 1
471, 1
472, 3
473, 2
474, 3
475, 0
476, 3
477, 2
478, 2
479, 0
480, 5
481, 3
482, 2
483, 8
484, 2
485, 4
486, 5
487, 1
488, 4
489, 5
490, 2
491, 1
492, 4
493, 2
494, 1
495, 3
496, 2
497, 7
498, 2
499, 2
500, 1
501, 3
502, 2
503, 3
504, 5
505, 2
506, 2
507, 3
508, 0
509, 2
510, 2
511, 2
512, 4
513, 2
514, 3
515, 6
516, 6
517, 7
518, 3
519, 4
520, 3
521, 5
522, 8
523, 4
524, 3
525, 3
526, 5
527, 4
528, 7
529, 4
530, 6
531, 4
532, 5
533, 7
534, 6
535, 4
536, 4
537, 3
538, 8
539, 4
540, 5
541, 6
542, 4
543, 7
544, 7
545, 6
546, 2
547, 3
548, 2
549, 6
550, 7
551, 3
552, 3
553, 6
554, 4
555, 8
556, 7
557, 7
558, 6
559, 7
560, 2
561, 4
562, 2
563, 2
564, 6
565, 4
566, 7
567, 5
568, 5
569, 7
570, 0
571, 3
572, 4
573, 6
574, 7
575, 7
576, 5
577, 8
578, 8
579, 6
580, 4
581, 1
582, 6
583, 2
584, 4
