index,size
0, 23
1, 19
2, 24
3, 23
4, 16
5, 21
6, 21
7, 31
8, 34
9, 29
10, 44
11, 60
12, 40
13, 41
14, 38
15, 45
16, 47
17, 40
18, 52
19, 52
20, 45
21, 50
22, 59
23, 71
24, 71
25, 79
26, 79
27, 86
28, 80
29, 76
30, 72
31, 84
32, 83
33, 92
34, 90
35, 95
36, 82
37, 77
38, 89
39, 76
40, 88
41, 85
42, 85
43, 94
44, 87
45, 77
46, 85
47, 94
48, 75
49, 85
50, 86
51, 83
52, 83
53, 76
54, 68
55, 66
56, 59
57, 59
58, 63
59, 59
60, 53
61, 54
62, 66
63, 46
64, 50
65, 62
66, 53
67, 41
68, 42
69, 49
70, 51
71, 47
72, 44
73, 33
74, 49
75, 41
76, 32
77, 35
78, 28
79, 39
80, 27
81, 35
82, 23
83, 25
84, 24
85, 30
86, 31
87, 22
88, 19
89, 24
90, 30
91, 16
92, 26
93, 23
94, 22
95, 19
96, 20
97, 20
98, 19
99, 15
100, 32
