index,size
0, 2
1, 0
2, 4
3, 4
4, 5
5, 2
6, 3
7, 2
8, 1
9, 4
10, 1
11, 1
12, 4
13, 2
14, 2
15, 2
16, 1
17, 3
18, 6
19, 6
20, 1
21, 0
22, 1
23, 4
24, 3
25, 0
26, 4
27, 3
28, 4
29, 6
30, 4
31, 5
32, 4
33, 5
34, 5
35, 3
36, 0
37, 2
38, 3
39, 1
40, 2
41, 2
42, 4
43, 5
44, 2
45, 1
46, 7
47, 1
48, 6
49, 1
50, 3
51, 3
52, 5
53, 1
54, 2
55, 1
56, 2
57, 4
58, 3
59, 4
60, 0
61, 1
62, 3
63, 0
64, 2
65, 2
66, 2
67, 4
68, 2
69, 2
70, 3
71, 5
72, 3
73, 2
74, 3
75, 1
76, 0
77, 1
78, 3
79, 1
80, 2
81, 5
82, 4
83, 4
84, 4
85, 3
86, 3
87, 4
88, 0
89, 4
90, 3
91, 3
92, 2
93, 3
94, 2
95, 2
96, 3
97, 3
98, 4
99, 5
100, 1
101, 3
102, 5
103, 3
104, 6
105, 3
106, 2
107, 2
108, 1
109, 2
110, 2
111, 3
112, 1
113, 4
114, 3
115, 4
116, 3
117, 1
118, 2
119, 4
120, 4
121, 3
122, 7
123, 3
124, 4
125, 1
126, 2
127, 2
128, 4
129, 2
130, 1
131, 3
132, 5
133, 7
134, 4
135, 3
136, 7
137, 1
138, 1
139, 0
140, 2
141, 3
142, 1
143, 2
144, 2
145, 0
146, 4
147, 2
148, 1
149, 3
150, 2
151, 4
152, 3
153, 3
154, 1
155, 1
156, 3
157, 1
158, 0
159, 2
160, 4
161, 0
162, 5
163, 1
164, 3
165, 2
166, 3
167, 3
168, 3
169, 1
170, 4
171, 2
172, 6
173, 2
174, 1
175, 0
176, 1
177, 2
178, 2
179, 2
180, 2
181, 1
182, 1
183, 4
184, 5
185, 3
186, 4
187, 2
188, 1
189, 4
190, 2
191, 4
192, 2
193, 1
194, 6
195, 2
196, 1
197, 1
198, 4
199, 1
200, 5
201, 3
202, 5
203, 2
204, 3
205, 1
206, 3
207, 5
208, 3
209, 4
210, 3
211, 0
212, 0
213, 3
214, 2
215, 1
216, 3
217, 2
218, 4
219, 7
220, 3
221, 3
222, 2
223, 3
224, 4
225, 2
226, 2
227, 3
228, 3
229, 6
230, 4
231, 2
232, 4
233, 4
234, 0
235, 4
236, 1
237, 2
238, 1
239, 7
240, 4
241, 5
242, 0
243, 3
244, 2
245, 2
246, 5
247, 3
248, 2
249, 2
250, 1
251, 3
252, 1
253, 4
254, 1
255, 4
256, 1
257, 2
258, 2
259, 2
260, 4
261, 4
262, 1
263, 2
264, 7
265, 3
266, 4
267, 1
268, 7
269, 1
270, 2
271, 3
272, 1
273, 2
274, 1
275, 1
276, 1
277, 3
278, 3
279, 1
280, 5
281, 2
282, 1
283, 1
284, 5
285, 5
286, 2
287, 0
288, 2
289, 5
290, 2
291, 3
292, 3
293, 3
294, 4
295, 4
296, 1
297, 2
298, 3
299, 5
300, 1
301, 2
302, 2
303, 2
304, 3
305, 4
306, 3
307, 0
308, 3
309, 2
310, 2
311, 5
312, 3
313, 3
314, 2
315, 1
316, 2
317, 5
318, 2
319, 2
320, 6
321, 4
322, 6
323, 3
324, 2
325, 0
326, 2
327, 2
328, 5
329, 5
330, 3
331, 2
332, 2
333, 1
334, 3
335, 2
336, 4
337, 6
338, 2
339, 3
340, 1
341, 2
342, 4
343, 4
344, 2
345, 2
346, 2
347, 1
348, 1
349, 1
350, 2
351, 2
352, 2
353, 3
354, 5
355, 5
356, 4
357, 1
358, 2
359, 3
360, 2
361, 3
362, 4
363, 3
364, 3
365, 1
366, 7
367, 1
368, 2
369, 0
370, 1
371, 2
372, 4
373, 2
374, 3
375, 1
376, 4
377, 2
378, 1
379, 3
380, 2
381, 1
382, 2
383, 1
384, 0
385, 1
386, 1
387, 3
388, 5
389, 3
390, 0
391, 1
392, 0
393, 1
394, 1
395, 1
396, 3
397, 2
398, 1
399, 3
400, 3
401, 2
402, 2
403, 6
404, 2
405, 2
406, 0
407, 5
408, 2
409, 3
410, 6
411, 2
412, 3
413, 5
414, 1
415, 2
416, 5
417, 1
418, 2
419, 3
420, 1
421, 6
422, 5
423, 1
424, 5
425, 3
426, 2
427, 0
428, 0
429, 3
430, 0
431, 2
432, 6
433, 1
434, 1
435, 4
436, 2
437, 0
438, 4
439, 1
440, 0
441, 2
442, 7
443, 2
444, 2
445, 2
446, 1
447, 1
448, 3
449, 2
450, 3
451, 3
452, 2
453, 1
454, 4
455, 4
456, 1
457, 3
458, 5
459, 3
460, 1
461, 4
462, 2
463, 4
464, 6
465, 7
466, 0
467, 3
468, 2
469, 2
470, 2
471, 1
472, 3
473, 1
474, 0
475, 2
476, 3
477, 3
478, 1
479, 4
480, 1
481, 2
482, 4
483, 2
484, 1
485, 2
486, 3
487, 3
488, 0
489, 2
490, 3
491, 2
492, 2
493, 0
494, 2
495, 5
496, 2
497, 2
498, 3
499, 3
500, 1
501, 2
502, 1
503, 3
504, 5
505, 1
506, 4
507, 2
508, 4
509, 4
510, 3
511, 7
512, 5
513, 3
514, 2
515, 3
516, 1
517, 3
518, 6
519, 3
520, 2
521, 1
522, 7
523, 2
524, 0
525, 1
526, 1
527, 3
528, 3
529, 2
530, 2
531, 3
532, 5
533, 1
534, 2
535, 0
536, 2
537, 3
538, 2
539, 4
540, 2
541, 1
542, 2
543, 3
544, 1
545, 3
546, 0
547, 12
548, 2
549, 1
550, 5
551, 1
552, 2
553, 3
554, 1
555, 4
556, 2
557, 1
558, 3
559, 3
560, 2
561, 3
562, 2
563, 2
564, 2
565, 4
566, 2
567, 3
568, 2
569, 1
570, 6
571, 3
572, 1
573, 3
574, 4
575, 2
576, 2
577, 2
578, 3
579, 5
580, 2
581, 1
582, 2
583, 2
584, 1
585, 1
586, 3
587, 3
588, 1
589, 1
590, 1
591, 4
592, 3
593, 0
594, 1
595, 1
596, 0
597, 1
598, 4
599, 3
600, 5
601, 1
602, 2
603, 2
604, 2
605, 2
606, 1
607, 3
608, 1
609, 3
610, 5
611, 0
612, 2
613, 1
614, 2
615, 2
616, 1
617, 3
618, 2
619, 2
620, 2
621, 4
622, 5
623, 4
624, 3
625, 3
626, 4
627, 3
628, 1
629, 2
630, 4
631, 1
632, 2
633, 5
634, 1
635, 1
636, 2
637, 1
638, 2
639, 1
640, 2
641, 1
642, 3
643, 3
644, 4
645, 4
646, 3
647, 4
648, 2
649, 2
650, 2
651, 4
652, 1
653, 4
654, 5
655, 0
656, 5
657, 2
658, 3
659, 0
660, 3
661, 5
662, 0
663, 2
664, 1
665, 3
666, 1
667, 4
668, 4
669, 3
670, 6
671, 0
672, 3
673, 6
674, 2
675, 1
676, 2
677, 4
678, 0
679, 3
680, 1
681, 4
682, 5
683, 0
684, 3
685, 1
686, 2
687, 4
688, 4
689, 2
690, 6
691, 2
692, 4
693, 2
694, 3
695, 2
696, 3
697, 3
698, 0
699, 4
700, 2
701, 1
702, 3
703, 4
704, 3
705, 0
706, 3
707, 3
708, 2
709, 4
710, 0
711, 1
712, 3
713, 0
714, 2
715, 1
716, 2
717, 2
718, 5
719, 2
720, 2
721, 4
722, 5
723, 3
724, 1
725, 3
726, 5
727, 5
728, 2
729, 0
730, 3
731, 4
732, 4
733, 1
734, 0
735, 1
736, 1
737, 2
738, 1
739, 5
740, 2
741, 1
742, 3
743, 5
744, 5
745, 3
746, 3
747, 2
748, 2
749, 2
750, 1
751, 2
752, 1
753, 1
754, 1
755, 3
756, 3
757, 2
758, 2
759, 3
760, 5
761, 4
762, 1
763, 2
764, 3
765, 3
766, 2
767, 3
768, 2
769, 1
770, 4
771, 2
772, 4
773, 2
774, 1
775, 6
776, 4
777, 4
778, 3
779, 1
780, 0
781, 4
782, 3
783, 3
784, 2
785, 1
786, 1
787, 2
788, 1
789, 3
790, 3
791, 1
792, 3
793, 3
794, 2
795, 2
796, 2
797, 2
798, 1
799, 0
800, 1
801, 2
802, 7
803, 4
804, 3
805, 3
806, 1
807, 2
808, 5
809, 5
810, 1
811, 1
812, 4
813, 1
814, 1
815, 0
816, 3
817, 5
818, 1
819, 1
820, 0
821, 2
822, 2
823, 3
824, 6
825, 3
826, 3
827, 1
828, 1
829, 4
830, 0
831, 1
832, 1
833, 2
834, 2
835, 1
836, 1
837, 4
838, 1
839, 1
840, 4
841, 0
842, 1
843, 2
844, 2
845, 6
846, 2
847, 2
848, 3
849, 5
850, 4
851, 6
852, 3
853, 3
854, 2
855, 3
856, 1
857, 3
858, 4
859, 1
860, 2
861, 2
862, 4
863, 0
864, 3
865, 1
866, 1
867, 2
868, 1
869, 4
870, 6
871, 1
872, 3
873, 3
874, 1
875, 5
876, 2
877, 0
878, 4
879, 3
880, 4
881, 5
882, 4
883, 5
884, 3
885, 3
886, 3
887, 1
888, 4
889, 1
890, 1
891, 2
892, 2
893, 1
894, 1
895, 3
896, 3
897, 0
898, 4
899, 2
900, 1
901, 5
902, 1
903, 3
904, 0
905, 3
906, 0
907, 2
908, 1
909, 3
910, 2
911, 0
912, 0
913, 1
914, 4
915, 2
916, 3
917, 3
918, 3
919, 1
920, 4
921, 1
922, 4
923, 5
924, 0
925, 3
926, 1
927, 4
928, 2
929, 5
930, 6
931, 3
932, 3
933, 4
934, 3
935, 4
936, 3
937, 2
938, 2
939, 1
940, 0
941, 3
942, 4
943, 3
944, 3
945, 3
946, 2
947, 2
948, 1
949, 3
950, 2
951, 2
952, 5
953, 5
954, 4
955, 2
956, 3
957, 3
958, 2
