index,size
0, 1
1, 0
2, 4
3, 4
4, 1
5, 2
6, 4
7, 4
8, 2
9, 0
10, 1
11, 7
12, 2
13, 3
14, 2
15, 4
16, 0
17, 1
18, 3
19, 2
20, 5
21, 4
22, 1
23, 1
24, 2
25, 4
26, 4
27, 0
28, 3
29, 0
30, 1
31, 2
32, 3
33, 5
34, 2
35, 4
36, 4
37, 1
38, 4
39, 3
40, 2
41, 4
42, 2
43, 3
44, 0
45, 0
46, 3
47, 3
48, 1
49, 5
50, 0
51, 4
52, 3
53, 5
54, 2
55, 1
56, 2
57, 2
58, 3
59, 5
60, 5
61, 0
62, 3
63, 1
64, 3
65, 3
66, 1
67, 4
68, 2
69, 3
70, 6
71, 3
72, 2
73, 3
74, 3
75, 2
76, 1
77, 4
78, 6
79, 3
80, 3
81, 1
82, 5
83, 8
84, 4
85, 2
86, 4
87, 1
88, 0
89, 5
90, 2
91, 2
92, 3
93, 3
94, 2
95, 1
96, 3
97, 2
98, 5
99, 3
100, 1
101, 4
102, 1
103, 2
104, 3
105, 3
106, 0
107, 4
108, 1
109, 2
110, 3
111, 3
112, 0
113, 1
114, 0
115, 3
116, 3
117, 2
118, 1
119, 4
120, 2
121, 6
122, 5
123, 2
124, 2
125, 2
126, 7
127, 1
128, 4
129, 2
130, 6
131, 2
132, 4
133, 4
134, 1
135, 1
136, 2
137, 0
138, 0
139, 2
140, 1
141, 0
142, 4
143, 1
144, 6
145, 1
146, 1
147, 3
148, 2
149, 1
150, 2
151, 4
152, 5
153, 3
154, 4
155, 2
156, 2
157, 4
158, 3
159, 3
160, 3
161, 2
162, 0
163, 4
164, 0
165, 2
166, 1
167, 3
168, 3
169, 1
170, 1
171, 3
172, 1
173, 1
174, 1
175, 3
176, 3
177, 1
178, 2
179, 3
180, 4
181, 1
182, 3
183, 4
184, 2
185, 3
186, 1
187, 2
188, 1
189, 2
190, 2
191, 1
192, 1
193, 1
194, 5
195, 1
196, 1
197, 3
198, 2
199, 2
200, 3
201, 3
202, 2
203, 5
204, 4
205, 2
206, 2
207, 3
208, 3
209, 6
210, 3
211, 1
212, 1
213, 2
214, 1
215, 2
216, 3
217, 2
218, 3
219, 0
220, 1
221, 2
222, 5
223, 4
224, 3
225, 4
226, 2
227, 4
228, 1
229, 1
230, 0
231, 0
232, 1
233, 1
234, 3
235, 0
236, 3
237, 5
238, 4
239, 0
240, 7
241, 1
242, 5
243, 1
244, 6
245, 2
246, 2
247, 6
248, 1
249, 1
250, 2
251, 1
252, 3
253, 6
254, 0
255, 1
256, 2
257, 2
258, 3
259, 2
260, 3
261, 8
262, 3
263, 2
264, 2
265, 6
266, 3
267, 3
268, 0
269, 7
270, 2
271, 1
272, 4
273, 2
274, 5
275, 5
276, 4
277, 3
278, 4
279, 0
280, 7
281, 1
282, 4
283, 3
284, 1
285, 3
286, 1
287, 2
288, 0
289, 3
290, 1
291, 0
292, 3
293, 6
294, 2
295, 3
296, 2
297, 0
298, 4
299, 4
300, 4
301, 2
302, 2
303, 2
304, 4
305, 1
306, 2
307, 5
308, 1
309, 3
310, 2
311, 4
312, 1
313, 3
314, 4
315, 2
316, 2
317, 2
318, 2
319, 2
320, 1
321, 6
322, 2
323, 4
324, 3
325, 3
326, 3
327, 1
328, 4
329, 3
330, 2
331, 3
332, 3
333, 0
334, 2
335, 1
336, 2
337, 1
338, 2
339, 0
340, 1
341, 2
342, 1
343, 6
344, 0
345, 2
346, 2
347, 2
348, 4
349, 1
350, 1
351, 3
352, 4
353, 2
354, 0
355, 4
356, 2
357, 4
358, 3
359, 3
360, 2
361, 2
362, 1
363, 4
364, 4
365, 3
366, 2
367, 1
368, 3
369, 2
370, 1
371, 2
372, 8
373, 1
374, 1
375, 3
376, 2
377, 2
378, 4
379, 4
380, 0
381, 1
382, 4
383, 1
384, 4
385, 2
386, 4
387, 1
388, 1
389, 3
390, 3
391, 4
392, 0
393, 2
394, 1
395, 1
396, 2
397, 3
398, 6
399, 2
400, 3
401, 1
402, 1
403, 3
404, 1
405, 2
406, 3
407, 3
408, 1
409, 1
410, 3
411, 3
412, 1
413, 3
414, 4
415, 4
416, 3
417, 4
418, 4
419, 3
420, 3
421, 4
422, 3
423, 4
424, 2
425, 1
426, 1
427, 2
428, 2
429, 2
430, 4
431, 3
432, 1
433, 2
434, 5
435, 3
436, 1
437, 1
438, 0
439, 3
440, 2
441, 0
442, 2
443, 4
444, 3
445, 2
446, 7
447, 3
448, 3
449, 3
450, 2
451, 3
452, 2
453, 2
454, 2
455, 2
456, 2
457, 0
458, 3
459, 3
460, 6
461, 4
462, 2
463, 1
464, 4
465, 3
466, 3
467, 3
468, 2
469, 0
470, 3
471, 3
472, 7
473, 2
474, 2
475, 2
476, 6
477, 3
478, 2
479, 4
480, 4
481, 3
482, 4
483, 2
484, 2
485, 6
486, 3
487, 0
488, 0
489, 4
490, 2
491, 2
492, 3
493, 1
494, 4
495, 3
496, 9
497, 3
498, 2
499, 1
500, 3
501, 1
502, 0
503, 4
504, 1
505, 10
506, 1
507, 3
508, 2
509, 2
510, 1
511, 0
512, 0
513, 2
514, 6
515, 4
516, 3
517, 1
518, 3
519, 2
520, 1
521, 3
522, 2
523, 2
524, 0
525, 2
526, 5
527, 4
528, 3
529, 1
530, 2
531, 2
532, 0
533, 4
534, 5
535, 2
536, 2
537, 2
538, 2
539, 4
540, 1
541, 5
542, 2
543, 1
544, 2
545, 4
546, 3
547, 1
548, 1
549, 3
550, 2
551, 2
552, 3
553, 1
554, 5
555, 2
556, 1
557, 4
558, 1
559, 4
560, 4
561, 2
562, 2
563, 3
564, 3
565, 0
566, 6
567, 3
568, 2
569, 3
570, 4
571, 2
572, 3
573, 4
574, 3
575, 4
576, 2
577, 2
578, 4
579, 3
580, 6
581, 5
582, 2
583, 3
584, 0
585, 2
586, 1
587, 2
588, 5
589, 6
590, 1
591, 2
592, 1
593, 3
594, 1
595, 3
596, 4
597, 1
598, 1
599, 4
600, 1
601, 4
602, 3
603, 3
604, 2
605, 4
606, 3
607, 3
608, 2
609, 4
610, 5
611, 0
612, 1
613, 3
614, 3
615, 2
616, 2
617, 3
618, 2
619, 5
620, 1
621, 1
622, 2
623, 0
624, 4
625, 1
626, 4
627, 1
628, 0
629, 2
630, 3
631, 2
632, 4
633, 1
634, 6
635, 2
636, 3
637, 5
638, 4
639, 5
640, 3
641, 3
642, 3
643, 1
644, 3
645, 3
646, 1
647, 3
648, 3
649, 2
650, 2
651, 2
652, 1
653, 6
654, 5
655, 3
656, 0
657, 1
658, 0
659, 2
660, 3
661, 2
662, 1
663, 3
664, 3
665, 4
666, 2
667, 3
668, 2
669, 4
670, 3
671, 0
672, 1
673, 2
674, 0
675, 2
676, 4
677, 3
678, 3
679, 2
680, 4
681, 6
682, 1
683, 1
684, 3
685, 3
686, 2
687, 3
688, 3
689, 2
690, 1
691, 5
692, 2
693, 2
694, 1
695, 2
696, 1
697, 1
698, 5
699, 3
700, 3
701, 1
702, 1
703, 3
704, 2
705, 4
706, 2
707, 2
708, 1
709, 2
710, 3
711, 4
712, 2
713, 2
714, 0
715, 0
716, 2
717, 1
718, 1
719, 3
720, 1
721, 2
722, 2
723, 2
724, 2
725, 2
726, 5
727, 4
728, 2
729, 3
730, 5
731, 3
732, 1
733, 1
734, 1
735, 4
736, 3
737, 1
738, 1
739, 1
740, 2
741, 2
742, 0
743, 3
744, 0
745, 1
746, 5
747, 3
748, 3
749, 3
750, 5
751, 3
752, 1
753, 0
754, 0
755, 5
756, 3
757, 1
758, 1
759, 3
760, 4
761, 2
762, 1
763, 1
764, 0
765, 6
766, 1
767, 5
768, 2
769, 2
770, 3
771, 4
772, 4
773, 1
774, 0
775, 7
776, 2
777, 3
778, 5
779, 2
780, 2
781, 5
782, 2
783, 5
784, 2
785, 1
786, 1
787, 2
788, 4
789, 2
790, 3
791, 5
792, 3
793, 5
794, 3
795, 3
796, 1
797, 1
798, 3
799, 2
800, 2
801, 1
802, 3
803, 4
804, 1
805, 4
806, 5
807, 1
808, 5
809, 5
810, 3
811, 1
812, 4
813, 2
814, 4
815, 1
816, 6
817, 0
818, 5
819, 1
820, 2
821, 3
822, 4
823, 0
824, 4
825, 2
826, 5
827, 1
828, 2
829, 0
830, 5
831, 4
832, 6
833, 1
834, 2
835, 4
836, 4
837, 2
838, 2
839, 1
840, 0
841, 3
842, 4
843, 4
844, 1
845, 1
846, 0
847, 2
848, 2
849, 1
850, 5
851, 3
852, 5
853, 1
854, 3
855, 5
856, 1
857, 2
858, 2
859, 0
860, 2
861, 2
862, 4
863, 3
864, 0
865, 3
866, 2
867, 3
868, 3
869, 5
870, 2
871, 2
872, 2
873, 3
874, 3
875, 2
876, 3
877, 3
878, 1
879, 4
880, 3
881, 0
882, 2
883, 4
884, 7
885, 5
886, 3
887, 1
888, 3
889, 2
890, 1
891, 3
892, 3
893, 2
894, 2
895, 2
896, 1
897, 3
898, 1
899, 2
900, 3
901, 4
902, 4
903, 4
904, 0
905, 6
906, 4
907, 2
908, 5
909, 3
910, 3
911, 4
912, 3
913, 2
914, 1
915, 2
916, 4
917, 6
918, 3
919, 3
920, 3
921, 3
922, 1
923, 4
924, 3
925, 2
926, 3
927, 2
928, 1
929, 2
930, 2
931, 1
932, 2
933, 3
934, 2
935, 2
936, 3
937, 4
938, 1
939, 1
940, 2
941, 4
942, 2
943, 1
944, 1
945, 6
946, 2
947, 3
948, 2
949, 0
950, 3
951, 3
952, 4
953, 0
954, 1
955, 0
956, 1
957, 3
958, 2
959, 4
960, 2
961, 0
962, 2
963, 4
964, 6
965, 5
966, 2
967, 3
968, 2
969, 0
970, 3
971, 2
972, 2
973, 3
974, 0
975, 2
976, 3
977, 6
978, 2
979, 3
980, 2
981, 0
982, 2
983, 3
984, 3
985, 6
986, 3
987, 4
988, 0
989, 2
990, 2
991, 4
992, 3
993, 2
994, 2
995, 0
996, 2
997, 3
998, 4
999, 1
1000, 3
1001, 1
1002, 0
1003, 5
1004, 2
1005, 5
1006, 2
1007, 3
1008, 4
1009, 1
1010, 3
1011, 1
1012, 1
1013, 3
1014, 4
1015, 2
1016, 2
1017, 3
1018, 3
1019, 5
1020, 1
1021, 3
1022, 1
1023, 2
1024, 3
1025, 4
